room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2198811,6017715,Entire home/apt,,Hillmorton,56,4.5,2,1.0,36.0,1.0,-43.55856,172.588995,2016-08-19 21:31:44.983811
335850,1709422,Private room,,Northcote,0,,2,1.0,58.0,1.0,-43.48987,172.616984,2016-08-19 21:31:28.088496
1095260,6017715,Private room,,Hillmorton,64,4.5,2,1.0,31.0,1.0,-43.55833,172.589278,2016-08-19 21:31:14.314552
9869363,14210794,Private room,,Yaldhurst,2,,2,1.0,57.0,1.0,-43.503919,172.502427,2016-08-19 21:31:11.282641
9616023,28992903,Entire home/apt,,Upper Riccarton,0,,1,0.0,90.0,1.0,-43.531318,172.579119,2016-08-19 21:31:04.863253
14169682,69898199,Private room,,North Beach,0,,2,1.0,23.0,1.0,-43.490067,172.71628,2016-08-19 21:31:02.756989
12931379,48479327,Entire home/apt,,Halswell West,0,,10,5.0,187.0,1.0,-43.573243,172.544903,2016-08-19 21:31:00.280767
10046200,40346134,Private room,,Hagley Park,26,5.0,2,1.0,64.0,1.0,-43.524481,172.630407,2016-08-19 21:30:51.480756
6676910,34943562,Entire home/apt,,Sydenham,14,4.5,2,1.0,75.0,2.0,-43.554771,172.638089,2016-08-19 21:30:49.563521
11794904,62311039,Private room,,Belfast South,6,5.0,2,1.0,41.0,1.0,-43.460877,172.620236,2016-08-19 21:30:45.918305
14077763,81576642,Entire home/apt,,Cathedral Square,0,,6,3.0,240.0,2.0,-43.531609,172.639347,2016-08-19 21:30:38.136534
14157495,74570513,Private room,,Phillipstown,3,5.0,2,1.0,28.0,1.0,-43.533616,172.655495,2016-08-19 21:30:32.898650
12475426,67527194,Private room,,Russley,0,,1,1.0,375.0,1.0,-43.494302,172.575557,2016-08-19 21:30:31.605346
7751595,40754323,Private room,,Hoon Hay,27,4.5,2,1.0,54.0,1.0,-43.562817,172.608888,2016-08-19 21:30:30.162542
14493263,55207621,Private room,,Avonhead West,0,,2,1.0,44.0,1.0,-43.51551,172.541812,2016-08-19 21:30:21.829616
13172924,28321324,Entire home/apt,,St Albans East,0,,7,4.0,210.0,6.0,-43.509873,172.63355,2016-08-19 21:30:18.552108
11167357,22182940,Private room,,Bryndwr,2,,1,1.0,34.0,1.0,-43.51838,172.597001,2016-08-19 21:30:16.588407
13803097,81191167,Entire home/apt,,Hoon Hay,2,,4,2.0,68.0,1.0,-43.564006,172.595315,2016-08-19 21:30:15.623681
